Master Category,Subcategory,Article Type
Apparel,Topwear,Shirts
Apparel,Topwear,Tshirts
Apparel,Topwear,Tops
Apparel,Topwear,Sweatshirts
Apparel,Topwear,Kurtas
Apparel,Topwear,Waistcoat
Apparel,Topwear,Rain Jacket
Apparel,Topwear,Blazers
Apparel,Topwear,Shrug
Apparel,Topwear,Dupatta
Apparel,Topwear,Tunics
Apparel,Topwear,Jackets
Apparel,Topwear,Sweaters
Apparel,Topwear,Kurtis
Apparel,Topwear,Suspenders
Apparel,Topwear,Nehru Jackets
Apparel,Topwear,Rompers
Apparel,Topwear,Dresses
Apparel,Topwear,Lehenga Choli
Apparel,Topwear,Belts
Apparel,Topwear,Suits
Apparel,Bottomwear,Jeans
Apparel,Bottomwear,Track Pants
Apparel,Bottomwear,Shorts
Apparel,Bottomwear,Skirts
Apparel,Bottomwear,Trousers
Apparel,Bottomwear,Capris
Apparel,Bottomwear,Tracksuits
Apparel,Bottomwear,Swimwear
Apparel,Bottomwear,Leggings
Apparel,Bottomwear,Salwar and Dupatta
Apparel,Bottomwear,Patiala
Apparel,Bottomwear,Stockings
Apparel,Bottomwear,Tights
Apparel,Bottomwear,Churidar
Apparel,Bottomwear,Salwar
Apparel,Bottomwear,Jeggings
Apparel,Bottomwear,Rain Trousers
Apparel,Innerwear,Bra
Apparel,Innerwear,Briefs
Apparel,Innerwear,Innerwear Vests
Apparel,Innerwear,Camisoles
Apparel,Innerwear,Boxers
Apparel,Innerwear,Trunk
Apparel,Innerwear,Shapewear
Apparel,Saree,Sarees
Apparel,Dress,Dresses
Apparel,Dress,Jumpsuit
Apparel,Loungewear and Nightwear,Night suits
Apparel,Loungewear and Nightwear,Bath Robe
Apparel,Loungewear and Nightwear,Lounge Pants
Apparel,Loungewear and Nightwear,Nightdress
Apparel,Loungewear and Nightwear,Baby Dolls
Apparel,Loungewear and Nightwear,Robe
Apparel,Loungewear and Nightwear,Lounge Tshirts
Apparel,Loungewear and Nightwear,Lounge Shorts
Apparel,Loungewear and Nightwear,Shorts
Apparel,Apparel Set,Kurta Sets
Apparel,Apparel Set,Clothing Set
Apparel,Apparel Set,Swimwear
Apparel,Socks,Socks
Apparel,Socks,Booties
Accessories,Watches,Watches
Accessories,Socks,Socks
Accessories,Belts,Belts
Accessories,Belts,Tshirts
Accessories,Bags,Handbags
Accessories,Bags,Laptop Bag
Accessories,Bags,Clutches
Accessories,Bags,Backpacks
Accessories,Bags,Duffel Bag
Accessories,Bags,Trolley Bag
Accessories,Bags,Mobile Pouch
Accessories,Bags,Messenger Bag
Accessories,Bags,Tablet Sleeve
Accessories,Bags,Wallets
Accessories,Bags,Waist Pouch
Accessories,Bags,Rucksacks
Accessories,Bags,Travel Accessory
Accessories,Shoe Accessories,Shoe Accessories
Accessories,Shoe Accessories,Shoe Laces
Accessories,Jewellery,Bracelet
Accessories,Jewellery,Pendant
Accessories,Jewellery,Ring
Accessories,Jewellery,Earrings
Accessories,Jewellery,Jewellery Set
Accessories,Jewellery,Necklace and Chains
Accessories,Jewellery,Bangle
Accessories,Eyewear,Sunglasses
Accessories,Scarves,Scarves
Accessories,Wallets,Wallets
Accessories,Headwear,Caps
Accessories,Headwear,Headband
Accessories,Headwear,Hat
Accessories,Mufflers,Mufflers
Accessories,Ties,Ties
Accessories,Accessories,Travel Accessory
Accessories,Accessories,Messenger Bag
Accessories,Accessories,Accessory Gift Set
Accessories,Accessories,Hair Accessory
Accessories,Accessories,Key chain
Accessories,Accessories,Water Bottle
Accessories,Water Bottle,Water Bottle
Accessories,Gloves,Gloves
Accessories,Sports Accessories,Wristbands
Accessories,Cufflinks,Ties and Cufflinks
Accessories,Cufflinks,Cufflinks
Accessories,Stoles,Stoles
Accessories,Umbrellas,Umbrellas
Accessories,Perfumes,Perfume and Body Mist
Footwear,Shoes,Casual Shoes
Footwear,Shoes,Formal Shoes
Footwear,Shoes,Flats
Footwear,Shoes,Sports Shoes
Footwear,Shoes,Heels
Footwear,Shoes,Sandals
Footwear,Flip Flops,Flip Flops
Footwear,Sandal,Sandals
Footwear,Sandal,Sports Sandals
Footwear,Sandal,Flip Flops
Personal Care,Fragrance,Deodorant
Personal Care,Fragrance,Perfume and Body Mist
Personal Care,Fragrance,Fragrance Gift Set
Personal Care,Lips,Lipstick
Personal Care,Lips,Lip Gloss
Personal Care,Lips,Lip Care
Personal Care,Lips,Lip Liner
Personal Care,Lips,Lip Plumper
Personal Care,Nails,Nail Polish
Personal Care,Skin Care,Face Wash and Cleanser
Personal Care,Skin Care,Eye Cream
Personal Care,Skin Care,Face Scrub and Exfoliator
Personal Care,Skin Care,Sunscreen
Personal Care,Skin Care,Mask and Peel
Personal Care,Skin Care,Toner
Personal Care,Skin Care,Face Moisturisers
Personal Care,Skin Care,Mens Grooming Kit
Personal Care,Makeup,Foundation and Primer
Personal Care,Makeup,Highlighter and Blush
Personal Care,Makeup,Compact
Personal Care,Makeup,Kajal and Eyeliner
Personal Care,Makeup,Eyeshadow
Personal Care,Makeup,Concealer
Personal Care,Makeup,Makeup Remover
Personal Care,Skin,Face Moisturisers
Personal Care,Skin,Mask and Peel
Personal Care,Skin,Body Lotion
Personal Care,Skin,Face Scrub and Exfoliator
Personal Care,Skin,Face Serum and Gel
Personal Care,Beauty Accessories,Beauty Accessory
Personal Care,Eyes,Eyeshadow
Personal Care,Eyes,Kajal and Eyeliner
Personal Care,Eyes,Mascara
Personal Care,Bath and Body,Nail Essentials
Personal Care,Bath and Body,Body Lotion
Personal Care,Bath and Body,Body Wash and Scrub
Personal Care,Hair,Hair Colour
Free Items,Free Gifts,Free Gifts
Free Items,Free Gifts,Ties
Free Items,Free Gifts,Laptop Bag
Free Items,Free Gifts,Backpacks
Free Items,Free Gifts,Clutches
Free Items,Free Gifts,Handbags
Free Items,Free Gifts,Scarves
Free Items,Free Gifts,Wallets
Free Items,Vouchers,Ipad
Sporting Goods,Sports Equipment,Footballs
Sporting Goods,Sports Equipment,Basketballs
Sporting Goods,Wristbands,Wristbands
Home,Home Furnishing,Cushion Covers
